number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
10,43.2777839463296,2024-07-10 16:56:27.300134,2024-07-10 16:56:28.449282,0 days 00:00:01.149148,10,4,6,COMPLETE,"{'mse': 1932.5494198236531, 'rmse': 43.960771374302034, 'mae': 32.31002294193605, 'mdae': 22.972105475357147, 'r2': 0.3531146375333899}","{'mse': 1942.0436546641147, 'rmse': 44.06862437907626, 'mae': 32.59537304923451, 'mdae': 23.54248695946748, 'r2': 0.2921872012533825}","{'mse': 1887.135208771293, 'rmse': 43.44116951431318, 'mae': 32.265480003461754, 'mdae': 23.772541095313564, 'r2': 0.32047118087672155}","{'mse': 1816.2570503171528, 'rmse': 42.617567390891196, 'mae': 31.717481883880463, 'mdae': 23.73963450844286, 'r2': 0.34014202069590427}","{'mse': 1789.3565870008113, 'rmse': 42.30078707306534, 'mae': 30.995300527172535, 'mdae': 21.76768411571428, 'r2': 0.3777230174441949}",1873.468384115405,43.2777839463296,31.97673168113706,23.158890430859067,0.3367276115607186,68.42486707364587,0.7919918009524693,0.6339545267291483,0.8413264451589392,0.03243815578316629
11,40.597992102073036,2024-07-10 16:56:28.449282,2024-07-10 16:56:29.218135,0 days 00:00:00.768853,5,3,6,COMPLETE,"{'mse': 1664.9463358718072, 'rmse': 40.80375394337887, 'mae': 30.93930598596442, 'mdae': 22.953743820542396, 'r2': 0.44268984641739806}","{'mse': 1590.3853861527139, 'rmse': 39.879636233956724, 'mae': 30.430151309298108, 'mdae': 23.79596078429231, 'r2': 0.4203553928589898}","{'mse': 1694.236519902227, 'rmse': 41.16110445435383, 'mae': 31.417892634856464, 'mdae': 23.87540573009663, 'r2': 0.38993107842321006}","{'mse': 1650.4984526183925, 'rmse': 40.62632708747362, 'mae': 31.196909946336838, 'mdae': 24.58571761171859, 'r2': 0.40036319550741295}","{'mse': 1641.8006083807015, 'rmse': 40.51913879120213, 'mae': 30.69258786736185, 'mdae': 23.54854658861284, 'r2': 0.4290379368967193}",1648.3734605851685,40.597992102073036,30.93536954876354,23.751874907052553,0.4164754900207461,38.040817416340545,0.4697045150727411,0.39224858764119763,0.589672095590448,0.021355754613103347
12,40.94841244500032,2024-07-10 16:56:29.219134,2024-07-10 16:56:29.890332,0 days 00:00:00.671198,4,2,6,COMPLETE,"{'mse': 1697.3823928203944, 'rmse': 41.199300877810956, 'mae': 31.344777181467904, 'mdae': 24.432493418726377, 'r2': 0.43183247312544415}","{'mse': 1637.961726470833, 'rmse': 40.471739849811655, 'mae': 30.93096007468967, 'mdae': 24.182672709949443, 'r2': 0.4030153384715338}","{'mse': 1683.8106843540925, 'rmse': 41.034262322528626, 'mae': 31.733695243734555, 'mdae': 25.80751463659692, 'r2': 0.3936852639661792}","{'mse': 1683.588732531362, 'rmse': 41.031557763889026, 'mae': 31.756675502626205, 'mdae': 25.195225970349853, 'r2': 0.3883412819604477}","{'mse': 1681.4265427535058, 'rmse': 41.00520141096134, 'mae': 31.284937382056075, 'mdae': 23.71673174689458, 'r2': 0.4152573930679494}",1676.8340157860378,40.94841244500032,31.410209076914885,24.666927696503436,0.40642635011831085,22.63118469013517,0.2773400894667616,0.3443603566314328,0.8325221167202187,0.017496416582381904
13,40.597992102073036,2024-07-10 16:56:29.891329,2024-07-10 16:56:30.614414,0 days 00:00:00.723085,5,3,5,COMPLETE,"{'mse': 1664.9463358718072, 'rmse': 40.80375394337887, 'mae': 30.93930598596442, 'mdae': 22.953743820542396, 'r2': 0.44268984641739806}","{'mse': 1590.3853861527139, 'rmse': 39.879636233956724, 'mae': 30.430151309298108, 'mdae': 23.79596078429231, 'r2': 0.4203553928589898}","{'mse': 1694.236519902227, 'rmse': 41.16110445435383, 'mae': 31.417892634856464, 'mdae': 23.87540573009663, 'r2': 0.38993107842321006}","{'mse': 1650.4984526183925, 'rmse': 40.62632708747362, 'mae': 31.196909946336838, 'mdae': 24.58571761171859, 'r2': 0.40036319550741295}","{'mse': 1641.8006083807015, 'rmse': 40.51913879120213, 'mae': 30.69258786736185, 'mdae': 23.54854658861284, 'r2': 0.4290379368967193}",1648.3734605851685,40.597992102073036,30.93536954876354,23.751874907052553,0.4164754900207461,38.040817416340545,0.4697045150727411,0.39224858764119763,0.589672095590448,0.021355754613103347
14,40.60390887365379,2024-07-10 16:56:30.615411,2024-07-10 16:56:31.321565,0 days 00:00:00.706154,5,4,8,COMPLETE,"{'mse': 1665.5758447992973, 'rmse': 40.81146707482221, 'mae': 30.940371884763234, 'mdae': 22.922376210245186, 'r2': 0.44247912988587845}","{'mse': 1590.3853861527139, 'rmse': 39.879636233956724, 'mae': 30.430151309298108, 'mdae': 23.79596078429231, 'r2': 0.4203553928589898}","{'mse': 1694.236519902227, 'rmse': 41.16110445435383, 'mae': 31.417892634856464, 'mdae': 23.87540573009663, 'r2': 0.38993107842321006}","{'mse': 1650.4324673941467, 'rmse': 40.62551498004852, 'mae': 31.19012961903705, 'mdae': 24.58571761171859, 'r2': 0.4003871683678224}","{'mse': 1643.6393006804267, 'rmse': 40.54182162508768, 'mae': 30.724872163056673, 'mdae': 23.577206849999968, 'r2': 0.42839850264172863}",1648.8539037857622,40.60390887365379,30.940683522202306,23.75133343727054,0.4163102544355259,38.037667711271844,0.46969134250743205,0.38638377058738343,0.5981372411810556,0.021193775789745704
15,41.03811257402019,2024-07-10 16:56:31.322565,2024-07-10 16:56:32.163997,0 days 00:00:00.841432,7,2,5,COMPLETE,"{'mse': 1752.797779486348, 'rmse': 41.866427832887155, 'mae': 31.469047507121417, 'mdae': 22.621184442588103, 'r2': 0.4132831919935268}","{'mse': 1670.246758219697, 'rmse': 40.86865251289424, 'mae': 30.615066517004625, 'mdae': 22.891319187245884, 'r2': 0.39124847698780507}","{'mse': 1655.642691019521, 'rmse': 40.68958946732592, 'mae': 30.834529484587136, 'mdae': 23.14718257259498, 'r2': 0.4038281319274931}","{'mse': 1696.8984321809037, 'rmse': 41.19342705069467, 'mae': 30.834309107088956, 'mdae': 22.90862677658457, 'r2': 0.3835057816581323}","{'mse': 1646.1249978322835, 'rmse': 40.572466006298946, 'mae': 30.299603852308223, 'mdae': 22.05794715744001, 'r2': 0.4275340622420666}",1684.3421317477507,41.03811257402019,30.810511293622074,22.725252027290708,0.4038799289618048,42.79814004603411,0.5189509969601472,0.4283801548303799,0.4169399947436118,0.017482859585463327
16,40.94859714818914,2024-07-10 16:56:32.163997,2024-07-10 16:56:32.805041,0 days 00:00:00.641044,4,3,7,COMPLETE,"{'mse': 1697.3823928203944, 'rmse': 41.199300877810956, 'mae': 31.344777181467904, 'mdae': 24.432493418726377, 'r2': 0.43183247312544415}","{'mse': 1637.961726470833, 'rmse': 40.471739849811655, 'mae': 30.93096007468967, 'mdae': 24.182672709949443, 'r2': 0.4030153384715338}","{'mse': 1683.8864767979887, 'rmse': 41.03518583847268, 'mae': 31.736651379620593, 'mdae': 25.80751463659692, 'r2': 0.39365797225456267}","{'mse': 1683.588732531362, 'rmse': 41.031557763889026, 'mae': 31.756675502626205, 'mdae': 25.195225970349853, 'r2': 0.3883412819604477}","{'mse': 1681.4265427535058, 'rmse': 41.00520141096134, 'mae': 31.284937382056075, 'mdae': 23.71673174689458, 'r2': 0.4152573930679494}",1676.849174274817,40.94859714818914,31.41080030409209,24.666927696503436,0.4064208917759876,22.63705057551519,0.2774118556715218,0.3450564265455566,0.8325221167202187,0.017501388665366692
17,41.03811257402019,2024-07-10 16:56:32.806045,2024-07-10 16:56:33.689470,0 days 00:00:00.883425,7,2,5,COMPLETE,"{'mse': 1752.797779486348, 'rmse': 41.866427832887155, 'mae': 31.469047507121417, 'mdae': 22.621184442588103, 'r2': 0.4132831919935268}","{'mse': 1670.246758219697, 'rmse': 40.86865251289424, 'mae': 30.615066517004625, 'mdae': 22.891319187245884, 'r2': 0.39124847698780507}","{'mse': 1655.642691019521, 'rmse': 40.68958946732592, 'mae': 30.834529484587136, 'mdae': 23.14718257259498, 'r2': 0.4038281319274931}","{'mse': 1696.8984321809037, 'rmse': 41.19342705069467, 'mae': 30.834309107088956, 'mdae': 22.90862677658457, 'r2': 0.3835057816581323}","{'mse': 1646.1249978322835, 'rmse': 40.572466006298946, 'mae': 30.299603852308223, 'mdae': 22.05794715744001, 'r2': 0.4275340622420666}",1684.3421317477507,41.03811257402019,30.810511293622074,22.725252027290708,0.4038799289618048,42.79814004603411,0.5189509969601472,0.4283801548303799,0.4169399947436118,0.017482859585463327
18,40.94859714818914,2024-07-10 16:56:33.690796,2024-07-10 16:56:34.335713,0 days 00:00:00.644917,4,4,2,COMPLETE,"{'mse': 1697.3823928203944, 'rmse': 41.199300877810956, 'mae': 31.344777181467904, 'mdae': 24.432493418726377, 'r2': 0.43183247312544415}","{'mse': 1637.961726470833, 'rmse': 40.471739849811655, 'mae': 30.93096007468967, 'mdae': 24.182672709949443, 'r2': 0.4030153384715338}","{'mse': 1683.8864767979887, 'rmse': 41.03518583847268, 'mae': 31.736651379620593, 'mdae': 25.80751463659692, 'r2': 0.39365797225456267}","{'mse': 1683.588732531362, 'rmse': 41.031557763889026, 'mae': 31.756675502626205, 'mdae': 25.195225970349853, 'r2': 0.3883412819604477}","{'mse': 1681.4265427535058, 'rmse': 41.00520141096134, 'mae': 31.284937382056075, 'mdae': 23.71673174689458, 'r2': 0.4152573930679494}",1676.849174274817,40.94859714818914,31.41080030409209,24.666927696503436,0.4064208917759876,22.63705057551519,0.2774118556715218,0.3450564265455566,0.8325221167202187,0.017501388665366692
19,42.455373000539545,2024-07-10 16:56:34.336716,2024-07-10 16:56:34.767087,0 days 00:00:00.430371,2,3,7,COMPLETE,"{'mse': 1806.5308588012333, 'rmse': 42.50330409275534, 'mae': 32.642915953426595, 'mdae': 26.115011866473576, 'r2': 0.3952970322956141}","{'mse': 1801.0052960553373, 'rmse': 42.438252745080554, 'mae': 33.28009718598077, 'mdae': 27.38010984151702, 'r2': 0.3435911720641074}","{'mse': 1772.9731913293122, 'rmse': 42.10668820186779, 'mae': 32.77044312035972, 'mdae': 27.147208523116234, 'r2': 0.36157919504576996}","{'mse': 1829.614949071384, 'rmse': 42.77399851628772, 'mae': 33.02528985634635, 'mdae': 27.10407230046451, 'r2': 0.33528900934589934}","{'mse': 1802.3948821831345, 'rmse': 42.4546214467063, 'mae': 33.06343233716612, 'mdae': 27.352915243379698, 'r2': 0.37318874459848606}",1802.5038354880803,42.455373000539545,32.95643569065591,27.019863554990206,0.36178903066997536,20.1590291939952,0.2375365054532128,0.2519096087344643,0.5202800318165739,0.023907095545049595
20,41.66458626755552,2024-07-10 16:56:34.768088,2024-07-10 16:56:35.699558,0 days 00:00:00.931470,8,2,4,COMPLETE,"{'mse': 1780.7401346950444, 'rmse': 42.19881674520086, 'mae': 31.663550755919044, 'mdae': 23.192757306386365, 'r2': 0.40393000268207424}","{'mse': 1757.4218322056238, 'rmse': 41.92161533392557, 'mae': 31.290067279279185, 'mdae': 23.285511761397515, 'r2': 0.3594759506850459}","{'mse': 1683.7632907349832, 'rmse': 41.03368483008787, 'mae': 30.743387174041608, 'mdae': 22.494814597387357, 'r2': 0.393702329690923}","{'mse': 1753.1666872540704, 'rmse': 41.870833371860066, 'mae': 31.187740224460363, 'mdae': 23.217329722259358, 'r2': 0.36306315924129784}","{'mse': 1705.5232393598203, 'rmse': 41.29798105670325, 'mae': 30.56813930032582, 'mdae': 22.438489208608672, 'r2': 0.4068773866663895}",1736.1230368499084,41.66458626755552,31.090576946805204,22.925780519207855,0.3854097657931461,40.039670148741855,0.4812587704813856,0.43903812874744985,0.42097166070161496,0.02260839515988628
21,40.597992102073036,2024-07-10 16:56:35.700586,2024-07-10 16:56:36.502662,0 days 00:00:00.802076,5,3,5,COMPLETE,"{'mse': 1664.9463358718072, 'rmse': 40.80375394337887, 'mae': 30.93930598596442, 'mdae': 22.953743820542396, 'r2': 0.44268984641739806}","{'mse': 1590.3853861527139, 'rmse': 39.879636233956724, 'mae': 30.430151309298108, 'mdae': 23.79596078429231, 'r2': 0.4203553928589898}","{'mse': 1694.236519902227, 'rmse': 41.16110445435383, 'mae': 31.417892634856464, 'mdae': 23.87540573009663, 'r2': 0.38993107842321006}","{'mse': 1650.4984526183925, 'rmse': 40.62632708747362, 'mae': 31.196909946336838, 'mdae': 24.58571761171859, 'r2': 0.40036319550741295}","{'mse': 1641.8006083807015, 'rmse': 40.51913879120213, 'mae': 30.69258786736185, 'mdae': 23.54854658861284, 'r2': 0.4290379368967193}",1648.3734605851685,40.597992102073036,30.93536954876354,23.751874907052553,0.4164754900207461,38.040817416340545,0.4697045150727411,0.39224858764119763,0.589672095590448,0.021355754613103347
22,40.597992102073036,2024-07-10 16:56:36.502662,2024-07-10 16:56:37.247666,0 days 00:00:00.745004,5,3,6,COMPLETE,"{'mse': 1664.9463358718072, 'rmse': 40.80375394337887, 'mae': 30.93930598596442, 'mdae': 22.953743820542396, 'r2': 0.44268984641739806}","{'mse': 1590.3853861527139, 'rmse': 39.879636233956724, 'mae': 30.430151309298108, 'mdae': 23.79596078429231, 'r2': 0.4203553928589898}","{'mse': 1694.236519902227, 'rmse': 41.16110445435383, 'mae': 31.417892634856464, 'mdae': 23.87540573009663, 'r2': 0.38993107842321006}","{'mse': 1650.4984526183925, 'rmse': 40.62632708747362, 'mae': 31.196909946336838, 'mdae': 24.58571761171859, 'r2': 0.40036319550741295}","{'mse': 1641.8006083807015, 'rmse': 40.51913879120213, 'mae': 30.69258786736185, 'mdae': 23.54854658861284, 'r2': 0.4290379368967193}",1648.3734605851685,40.597992102073036,30.93536954876354,23.751874907052553,0.4164754900207461,38.040817416340545,0.4697045150727411,0.39224858764119763,0.589672095590448,0.021355754613103347
23,40.69873713231071,2024-07-10 16:56:37.247666,2024-07-10 16:56:38.030193,0 days 00:00:00.782527,6,3,5,COMPLETE,"{'mse': 1697.5787693807204, 'rmse': 41.201684060008034, 'mae': 30.837876053196897, 'mdae': 22.98155974682556, 'r2': 0.43176673968488977}","{'mse': 1623.152303206151, 'rmse': 40.28836436498944, 'mae': 30.533982729788235, 'mdae': 23.15666262049906, 'r2': 0.4084128995941291}","{'mse': 1698.793127356791, 'rmse': 41.216418177187485, 'mae': 31.280823093040745, 'mdae': 23.54470466921834, 'r2': 0.3882903130618217}","{'mse': 1641.8779819348922, 'rmse': 40.520093557825014, 'mae': 30.852035915144718, 'mdae': 23.420136484235616, 'r2': 0.4034950684792875}","{'mse': 1621.441396157061, 'rmse': 40.267125501543575, 'mae': 30.547381428458117, 'mdae': 22.810877270026367, 'r2': 0.43611817414052956}",1656.568715607123,40.69873713231071,30.81041984392574,23.18278815816099,0.4136166389921315,38.83016966047731,0.4763289858339234,0.30387976391723903,0.3028245840524438,0.020041788328944942
24,41.77671676080736,2024-07-10 16:56:38.031193,2024-07-10 16:56:38.564232,0 days 00:00:00.533039,3,4,3,COMPLETE,"{'mse': 1754.519075316113, 'rmse': 41.886979782697544, 'mae': 32.052425565668486, 'mdae': 24.609953189924973, 'r2': 0.41270701988360403}","{'mse': 1727.4767543473686, 'rmse': 41.562925238093726, 'mae': 32.342571539471066, 'mdae': 25.720034029111943, 'r2': 0.37038997381559335}","{'mse': 1738.3814542540622, 'rmse': 41.693901883297784, 'mae': 32.45064182271707, 'mdae': 25.97639774272511, 'r2': 0.3740351558783127}","{'mse': 1772.448150037244, 'rmse': 42.10045308589023, 'mae': 32.491136732160406, 'mdae': 25.643078192652638, 'r2': 0.356058078617985}","{'mse': 1733.8332876919358, 'rmse': 41.6393238140575, 'mae': 32.28661960425742, 'mdae': 25.61401245395522, 'r2': 0.39703212073108174}",1745.3317443293447,41.77671676080736,32.32467905285489,25.51269512167398,0.3820444697853154,18.159214008357008,0.21702827184048382,0.17281883750125526,0.5244562626338818,0.022583680893915815
