number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
23,0.5995248981439317,2024-07-10 20:51:00.562222,2024-07-10 20:51:22.632641,0 days 00:00:22.070419,entropy,9,0.9491491334094584,13,13,434,COMPLETE,"{'accuracy': 0.6129943502824858, 'balanced_accuracy': 0.6340075062761635, 'precision': 0.6149919378157362, 'recall': 0.6129943502824858, 'f1': 0.6030455716721826}","{'accuracy': 0.6038135593220338, 'balanced_accuracy': 0.6234963867934851, 'precision': 0.6011096255531864, 'recall': 0.6038135593220338, 'f1': 0.5913590841886677}","{'accuracy': 0.6024011299435028, 'balanced_accuracy': 0.6253869569236589, 'precision': 0.6056167292878643, 'recall': 0.6024011299435028, 'f1': 0.5891722605847187}","{'accuracy': 0.623587570621469, 'balanced_accuracy': 0.646398143093301, 'precision': 0.6313296210035559, 'recall': 0.623587570621469, 'f1': 0.609982936456596}","{'accuracy': 0.6134275618374558, 'balanced_accuracy': 0.6312054105213633, 'precision': 0.6134861083129849, 'recall': 0.6134275618374558, 'f1': 0.6040646378174935}",0.6112448344013894,0.6320988807215944,0.6133068043946655,0.6112448344013894,0.5995248981439317,0.00856742668658921,0.009054872552024288,0.01157154019457762,0.00856742668658921,0.008891464526862318
24,0.603288467192171,2024-07-10 20:51:22.633644,2024-07-10 20:51:47.543751,0 days 00:00:24.910107,entropy,10,0.9996781490579315,16,17,462,COMPLETE,"{'accuracy': 0.617231638418079, 'balanced_accuracy': 0.6348282457684847, 'precision': 0.6174768054244714, 'recall': 0.617231638418079, 'f1': 0.6105494884061614}","{'accuracy': 0.6016949152542372, 'balanced_accuracy': 0.6192969325900566, 'precision': 0.5983334650037325, 'recall': 0.6016949152542372, 'f1': 0.59067758398411}","{'accuracy': 0.6080508474576272, 'balanced_accuracy': 0.629333499098827, 'precision': 0.609394573843888, 'recall': 0.6080508474576272, 'f1': 0.5976080611818433}","{'accuracy': 0.6242937853107344, 'balanced_accuracy': 0.645838532510265, 'precision': 0.6316267065134693, 'recall': 0.6242937853107344, 'f1': 0.6129629480113074}","{'accuracy': 0.6120141342756183, 'balanced_accuracy': 0.6271848123057261, 'precision': 0.6114776843431283, 'recall': 0.6120141342756183, 'f1': 0.604644254377433}",0.6126570641432593,0.6312964044546719,0.6136618470257379,0.6126570641432593,0.603288467192171,0.008633355497142964,0.009857648095719838,0.012198663517401996,0.008633355497142964,0.009212186966338388
25,0.599113087243189,2024-07-10 20:51:47.544753,2024-07-10 20:52:07.821407,0 days 00:00:20.276654,entropy,9,0.896343439946424,11,19,418,COMPLETE,"{'accuracy': 0.615819209039548, 'balanced_accuracy': 0.6376866461550047, 'precision': 0.6179725021929503, 'recall': 0.615819209039548, 'f1': 0.6053051243914747}","{'accuracy': 0.6031073446327684, 'balanced_accuracy': 0.6240167011180723, 'precision': 0.6007003797378596, 'recall': 0.6031073446327684, 'f1': 0.5897752573266936}","{'accuracy': 0.6038135593220338, 'balanced_accuracy': 0.6264378715477927, 'precision': 0.6071051382776782, 'recall': 0.6038135593220338, 'f1': 0.5915102766010859}","{'accuracy': 0.6214689265536724, 'balanced_accuracy': 0.6442176254755413, 'precision': 0.6285965512106321, 'recall': 0.6214689265536724, 'f1': 0.6078350075632968}","{'accuracy': 0.610600706713781, 'balanced_accuracy': 0.6286559694887425, 'precision': 0.6107415415883666, 'recall': 0.610600706713781, 'f1': 0.6011397703333944}",0.6109619492523607,0.6322029627570307,0.6130232226014973,0.6109619492523607,0.599113087243189,0.007856753991762506,0.008474302646329977,0.010713381573922978,0.007856753991762506,0.008116625833332105
26,0.5827310894282571,2024-07-10 20:52:07.822412,2024-07-10 20:52:22.135610,0 days 00:00:14.313198,entropy,7,0.8329071198141993,13,16,351,COMPLETE,"{'accuracy': 0.594632768361582, 'balanced_accuracy': 0.6214633433501278, 'precision': 0.5937295759435631, 'recall': 0.594632768361582, 'f1': 0.5756908123863294}","{'accuracy': 0.6031073446327684, 'balanced_accuracy': 0.6293747685986161, 'precision': 0.6048706637520234, 'recall': 0.6031073446327684, 'f1': 0.5819528574641943}","{'accuracy': 0.6094632768361582, 'balanced_accuracy': 0.6360675206564325, 'precision': 0.6210229014515565, 'recall': 0.6094632768361582, 'f1': 0.586880086757266}","{'accuracy': 0.6059322033898306, 'balanced_accuracy': 0.6331658114235457, 'precision': 0.6143013001849861, 'recall': 0.6059322033898306, 'f1': 0.5841753840473909}","{'accuracy': 0.6070671378091873, 'balanced_accuracy': 0.6340322392175568, 'precision': 0.6114870890193992, 'recall': 0.6070671378091873, 'f1': 0.5849563064861049}",0.6040405462059053,0.6308207366492558,0.6090823060703057,0.6040405462059053,0.5827310894282571,0.005734147283316901,0.005766140386324646,0.010356676011416528,0.005734147283316901,0.0043134354798264425
27,0.5931156826643716,2024-07-10 20:52:22.136609,2024-07-10 20:52:44.840730,0 days 00:00:22.704121,entropy,8,0.9499607214818668,15,10,476,COMPLETE,"{'accuracy': 0.6101694915254238, 'balanced_accuracy': 0.634332929139469, 'precision': 0.6110169417690281, 'recall': 0.6101694915254238, 'f1': 0.5959385038167738}","{'accuracy': 0.6038135593220338, 'balanced_accuracy': 0.6260355418511465, 'precision': 0.6030892602301325, 'recall': 0.6038135593220338, 'f1': 0.5886089998878351}","{'accuracy': 0.6080508474576272, 'balanced_accuracy': 0.6321750525655628, 'precision': 0.61465448647717, 'recall': 0.6080508474576272, 'f1': 0.5917947315317045}","{'accuracy': 0.6115819209039548, 'balanced_accuracy': 0.6370956983841183, 'precision': 0.6202612980634712, 'recall': 0.6115819209039548, 'f1': 0.5929524028618051}","{'accuracy': 0.6113074204946997, 'balanced_accuracy': 0.6335233399886155, 'precision': 0.6125012163995684, 'recall': 0.6113074204946997, 'f1': 0.59628377522374}",0.6089846479407479,0.6326325123857824,0.612304640587874,0.6089846479407479,0.5931156826643716,0.0032076897585261916,0.004102874295292828,0.006233983865135233,0.0032076897585261916,0.0031657104874074546
28,0.605788025939394,2024-07-10 20:52:44.841726,2024-07-10 20:52:52.385491,0 days 00:00:07.543765,gini,10,0.9662732508720134,10,14,135,COMPLETE,"{'accuracy': 0.6193502824858758, 'balanced_accuracy': 0.6332446617508697, 'precision': 0.6202778028722353, 'recall': 0.6193502824858758, 'f1': 0.6159056282488419}","{'accuracy': 0.6059322033898306, 'balanced_accuracy': 0.6179868325506209, 'precision': 0.6017013753224435, 'recall': 0.6059322033898306, 'f1': 0.5995907890763524}","{'accuracy': 0.6073446327683616, 'balanced_accuracy': 0.6251838188339957, 'precision': 0.6072425606765348, 'recall': 0.6073446327683616, 'f1': 0.6001427884381018}","{'accuracy': 0.6165254237288136, 'balanced_accuracy': 0.6342415022907052, 'precision': 0.6198918517270002, 'recall': 0.6165254237288136, 'f1': 0.6085137080359724}","{'accuracy': 0.6084805653710247, 'balanced_accuracy': 0.6177494922234793, 'precision': 0.6076276989812102, 'recall': 0.6084805653710247, 'f1': 0.6047872158977015}",0.6115266215487812,0.6256812615299341,0.6113482579158848,0.6115266215487812,0.605788025939394,0.006005470352697543,0.007950587960469822,0.00831401558688774,0.006005470352697543,0.006728136653374821
29,0.6042896986362092,2024-07-10 20:52:52.385491,2024-07-10 20:53:04.770791,0 days 00:00:12.385300,gini,10,0.9588788218496458,12,16,230,COMPLETE,"{'accuracy': 0.615819209039548, 'balanced_accuracy': 0.6314393409350126, 'precision': 0.6163032509093945, 'recall': 0.615819209039548, 'f1': 0.6110583501566366}","{'accuracy': 0.5995762711864406, 'balanced_accuracy': 0.6139284832819589, 'precision': 0.5951817080531867, 'recall': 0.5995762711864406, 'f1': 0.5914260265218085}","{'accuracy': 0.606638418079096, 'balanced_accuracy': 0.6242054150449068, 'precision': 0.6065218798926998, 'recall': 0.606638418079096, 'f1': 0.5991003040737835}","{'accuracy': 0.6221751412429378, 'balanced_accuracy': 0.6407664957819835, 'precision': 0.627081947397014, 'recall': 0.6221751412429378, 'f1': 0.6136250152645178}","{'accuracy': 0.6120141342756183, 'balanced_accuracy': 0.6245508375524876, 'precision': 0.6115204604461137, 'recall': 0.6120141342756183, 'f1': 0.6062387971642996}",0.6112446347647282,0.6269781145192699,0.6113218493396818,0.6112446347647282,0.6042896986362092,0.00863659035605762,0.009923386647925199,0.011798075756103655,0.00863659035605762,0.0090714613103307
30,0.6032495305296914,2024-07-10 20:53:04.770791,2024-07-10 20:53:16.537462,0 days 00:00:11.766671,gini,10,0.9637958059966714,5,13,205,COMPLETE,"{'accuracy': 0.614406779661017, 'balanced_accuracy': 0.6281456838330334, 'precision': 0.6147359612509096, 'recall': 0.614406779661017, 'f1': 0.6107288528287428}","{'accuracy': 0.5995762711864406, 'balanced_accuracy': 0.6129666388548712, 'precision': 0.5950292488498952, 'recall': 0.5995762711864406, 'f1': 0.5914761009677431}","{'accuracy': 0.6031073446327684, 'balanced_accuracy': 0.6205823224917042, 'precision': 0.6026965775450066, 'recall': 0.6031073446327684, 'f1': 0.5959690919968667}","{'accuracy': 0.623587570621469, 'balanced_accuracy': 0.6428911577792934, 'precision': 0.6294135423768238, 'recall': 0.623587570621469, 'f1': 0.6155182173515842}","{'accuracy': 0.6070671378091873, 'balanced_accuracy': 0.6177262459474498, 'precision': 0.6066213140077024, 'recall': 0.6070671378091873, 'f1': 0.6025553895035206}",0.6095490207821765,0.6244624097812703,0.6096993288060675,0.6095490207821765,0.6032495305296914,0.009588917719429668,0.011680849608204839,0.013112416151701039,0.009588917719429668,0.00998199878570651
31,0.6038687938810592,2024-07-10 20:53:16.538462,2024-07-10 20:53:24.822798,0 days 00:00:08.284336,gini,10,0.9693359298101988,10,16,147,COMPLETE,"{'accuracy': 0.615819209039548, 'balanced_accuracy': 0.6304215450348806, 'precision': 0.6158600362229071, 'recall': 0.615819209039548, 'f1': 0.6113029391854028}","{'accuracy': 0.5995762711864406, 'balanced_accuracy': 0.6132237551762384, 'precision': 0.5949479041411786, 'recall': 0.5995762711864406, 'f1': 0.5922669887582585}","{'accuracy': 0.6073446327683616, 'balanced_accuracy': 0.6257040373059883, 'precision': 0.6077328722171526, 'recall': 0.6073446327683616, 'f1': 0.5993288608050232}","{'accuracy': 0.6214689265536724, 'balanced_accuracy': 0.6398773538951295, 'precision': 0.6261126063889407, 'recall': 0.6214689265536724, 'f1': 0.6136366888228364}","{'accuracy': 0.607773851590106, 'balanced_accuracy': 0.6182046041964062, 'precision': 0.6058905144949835, 'recall': 0.607773851590106, 'f1': 0.6028084918337756}",0.6103965782276257,0.6254862591217286,0.6101087866930326,0.6103965782276257,0.6038687938810592,0.008445027130547227,0.010427123100641611,0.011645710215554262,0.008445027130547227,0.008760927503316862
32,0.6008910800864677,2024-07-10 20:53:24.823798,2024-07-10 20:53:36.919888,0 days 00:00:12.096090,gini,10,0.9111018068280222,12,14,237,COMPLETE,"{'accuracy': 0.6137005649717514, 'balanced_accuracy': 0.6283529303632092, 'precision': 0.6134405953323512, 'recall': 0.6137005649717514, 'f1': 0.6089654338331516}","{'accuracy': 0.5988700564971752, 'balanced_accuracy': 0.6139119239199581, 'precision': 0.5941465730591238, 'recall': 0.5988700564971752, 'f1': 0.5902757840583752}","{'accuracy': 0.6059322033898306, 'balanced_accuracy': 0.6235400790502296, 'precision': 0.6055492444466138, 'recall': 0.6059322033898306, 'f1': 0.5983303625796903}","{'accuracy': 0.615819209039548, 'balanced_accuracy': 0.6333357051892557, 'precision': 0.6195469804167661, 'recall': 0.615819209039548, 'f1': 0.6079664642257172}","{'accuracy': 0.6042402826855123, 'balanced_accuracy': 0.6151017301151963, 'precision': 0.6027010752590943, 'recall': 0.6042402826855123, 'f1': 0.5989173557354046}",0.6077124633167635,0.6228484737275698,0.6070768937027898,0.6077124633167634,0.6008910800864677,0.006981944746110052,0.008376057299928106,0.009806559696629953,0.006981944746110052,0.00772000033795439
33,0.6034910655025859,2024-07-10 20:53:36.920892,2024-07-10 20:53:52.611399,0 days 00:00:15.690507,gini,9,0.9728748368366579,9,19,298,COMPLETE,"{'accuracy': 0.6151129943502824, 'balanced_accuracy': 0.6332572085249526, 'precision': 0.6156481549773049, 'recall': 0.6151129943502824, 'f1': 0.6087080860449475}","{'accuracy': 0.6002824858757062, 'balanced_accuracy': 0.6165961006477096, 'precision': 0.596675972323738, 'recall': 0.6002824858757062, 'f1': 0.5901207185565801}","{'accuracy': 0.6073446327683616, 'balanced_accuracy': 0.6264813720993485, 'precision': 0.6079051561160289, 'recall': 0.6073446327683616, 'f1': 0.5989247101122452}","{'accuracy': 0.6228813559322034, 'balanced_accuracy': 0.6424889239352416, 'precision': 0.6288783293290617, 'recall': 0.6228813559322034, 'f1': 0.6131288811778985}","{'accuracy': 0.6141342756183745, 'balanced_accuracy': 0.6279661741959329, 'precision': 0.6136483949144075, 'recall': 0.6141342756183745, 'f1': 0.6065729316212582}",0.6119511489089856,0.6293579558806371,0.6125512015321082,0.6119511489089856,0.6034910655025859,0.008538302265853955,0.009496094364659789,0.011736467702044024,0.008538302265853955,0.009072216819934443
34,0.603689330937212,2024-07-10 20:53:52.611399,2024-07-10 20:54:01.287943,0 days 00:00:08.676544,gini,10,0.9204369752941155,12,16,165,COMPLETE,"{'accuracy': 0.6165254237288136, 'balanced_accuracy': 0.63210467692969, 'precision': 0.6173776946742905, 'recall': 0.6165254237288136, 'f1': 0.6118115997209235}","{'accuracy': 0.606638418079096, 'balanced_accuracy': 0.620430644024195, 'precision': 0.6028184483491165, 'recall': 0.606638418079096, 'f1': 0.5992024323039518}","{'accuracy': 0.6080508474576272, 'balanced_accuracy': 0.6263693733006658, 'precision': 0.6081615243884683, 'recall': 0.6080508474576272, 'f1': 0.5997616812746255}","{'accuracy': 0.6186440677966102, 'balanced_accuracy': 0.6367743839613251, 'precision': 0.6220163414420812, 'recall': 0.6186440677966102, 'f1': 0.6100959126006028}","{'accuracy': 0.602826855123675, 'balanced_accuracy': 0.6133411511613559, 'precision': 0.6010670414068016, 'recall': 0.602826855123675, 'f1': 0.5975750287859561}",0.6105371224371644,0.6258040458754464,0.6102882100521516,0.6105371224371644,0.603689330937212,0.0067529992672064765,0.009281204886859002,0.009126334712046625,0.0067529992672064765,0.006707438423470055
