number,value,datetime_start,datetime_complete,duration,params_C,params_loss,params_tol,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
10,36.39557738977289,2024-09-19 18:46:35.738434,2024-09-19 18:46:58.577887,0 days 00:00:22.839453,0.0001283077266440877,squared_epsilon_insensitive,0.0002850432062787153,COMPLETE,"{'mse': 1333.9655266338345, 'rmse': 36.52349280441062, 'mae': 25.8799311185643, 'mdae': 17.532188624303394, 'r2': 0.5115202099578676}","{'mse': 1401.0148972465263, 'rmse': 37.43013354566781, 'mae': 26.17130405815494, 'mdae': 16.698991984218864, 'r2': 0.5035425277376884}","{'mse': 1264.653932217673, 'rmse': 35.56197312042279, 'mae': 25.42172446330286, 'mdae': 17.27177328345071, 'r2': 0.5304910410669043}","{'mse': 1293.798760339421, 'rmse': 35.96941423403252, 'mae': 25.598553032713305, 'mdae': 17.53953060782154, 'r2': 0.5322624934663289}","{'mse': 1331.7297976267869, 'rmse': 36.49287324433069, 'mae': 25.94974189441263, 'mdae': 17.60886142871343, 'r2': 0.5059669789561176}",1325.0325828128484,36.39557738977289,25.80425091342961,17.33026918570159,0.5167566502369814,51.28132065447194,0.7022546527979444,0.29591435975089925,0.37553565610714834,0.013670360385651096
11,36.45403136815162,2024-09-19 18:46:58.579285,2024-09-19 18:47:21.612214,0 days 00:00:23.032929,0.00010662475450099925,squared_epsilon_insensitive,0.00021206551805691168,COMPLETE,"{'mse': 1338.322186896714, 'rmse': 36.58308607672013, 'mae': 25.945122180422892, 'mdae': 17.580272347763163, 'r2': 0.50992486101668}","{'mse': 1406.8313277955522, 'rmse': 37.50775023639184, 'mae': 26.24384005127214, 'mdae': 16.77688279975876, 'r2': 0.5014814430100143}","{'mse': 1270.6262894068714, 'rmse': 35.64584533163537, 'mae': 25.473729931924304, 'mdae': 17.42764309085724, 'r2': 0.5282737742440669}","{'mse': 1294.7829089483448, 'rmse': 35.983091987047814, 'mae': 25.647625401783486, 'mdae': 17.52842808435803, 'r2': 0.5319067014911721}","{'mse': 1335.9305127220412, 'rmse': 36.550383208962955, 'mae': 26.01236299779683, 'mdae': 17.61687265640261, 'r2': 0.5044086358351998}",1329.2986451539048,36.45403136815162,25.864536112639932,17.38601979582796,0.5151990831194266,51.89051990815417,0.7090858231926461,0.3049582379308692,0.3478820189662743,0.013986751599413384
12,36.419995969933765,2024-09-19 18:47:21.613498,2024-09-19 18:47:43.121615,0 days 00:00:21.508117,0.00011840184687162859,squared_epsilon_insensitive,0.00037137406244381347,COMPLETE,"{'mse': 1335.7863026486675, 'rmse': 36.5484103983835, 'mae': 25.907189104838217, 'mdae': 17.442705203665504, 'r2': 0.5108534668766699}","{'mse': 1403.4807245817078, 'rmse': 37.46305813173436, 'mae': 26.201955720146085, 'mdae': 16.784808205285067, 'r2': 0.5026687480168122}","{'mse': 1267.1895669969044, 'rmse': 35.59760619756481, 'mae': 25.44314453124689, 'mdae': 17.383015290173894, 'r2': 0.5295496742509692}","{'mse': 1294.1067073848362, 'rmse': 35.97369465852564, 'mae': 25.61880124061512, 'mdae': 17.508146093412797, 'r2': 0.532151163646281}","{'mse': 1333.5066600326709, 'rmse': 36.51721046346052, 'mae': 25.97646503170251, 'mdae': 17.63366258102308, 'r2': 0.5053078146842642}",1326.8139923289573,36.419995969933765,25.829511125709764,17.35046747471207,0.5161061734949992,51.545903261980776,0.7052356689128004,0.30000920646135076,0.32962083636217127,0.013810587467917008
13,36.74951294123399,2024-09-19 18:47:43.122854,2024-09-19 18:47:53.575928,0 days 00:00:10.453074,0.0008277918222494095,squared_epsilon_insensitive,0.0006436230241671954,COMPLETE,"{'mse': 1355.0603597076768, 'rmse': 36.81114450418075, 'mae': 26.22294619223979, 'mdae': 17.81532377323048, 'r2': 0.503795572832584}","{'mse': 1443.1576018610454, 'rmse': 37.98891419692126, 'mae': 26.240284013965606, 'mdae': 16.84331153811894, 'r2': 0.48860902442638143}","{'mse': 1310.8688787606802, 'rmse': 36.20592325518962, 'mae': 26.26640920619609, 'mdae': 18.532693707888203, 'r2': 0.5133335160825743}","{'mse': 1293.9564035203855, 'rmse': 35.97160551769111, 'mae': 25.482147590302258, 'mdae': 17.118964322296712, 'r2': 0.5322055018918688}","{'mse': 1352.0312256555649, 'rmse': 36.769977232187195, 'mae': 25.929518512615974, 'mdae': 17.579859952018438, 'r2': 0.49843573963231835}",1351.0148939010705,36.74951294123399,26.028261103063944,17.578030658710553,0.5072758709731453,57.82527823149664,0.7811789832892964,0.33449984518282816,0.6554096034864538,0.016559688397477904
14,36.70844054192343,2024-09-19 18:47:53.577658,2024-09-19 18:48:03.004384,0 days 00:00:09.426726,0.0007547525681669198,squared_epsilon_insensitive,0.0004263069001413852,COMPLETE,"{'mse': 1351.0277772528684, 'rmse': 36.75632975764675, 'mae': 26.16207335668007, 'mdae': 17.824222378821666, 'r2': 0.5052722489471633}","{'mse': 1440.4472310583385, 'rmse': 37.9532242511534, 'mae': 26.215062741737185, 'mdae': 16.997319763342894, 'r2': 0.4895694594940241}","{'mse': 1307.2342647559954, 'rmse': 36.15569477628656, 'mae': 26.215579068616606, 'mdae': 18.483846512823938, 'r2': 0.5146828843120872}","{'mse': 1292.4253511160043, 'rmse': 35.95031781662026, 'mae': 25.470263200161437, 'mdae': 17.018001319373774, 'r2': 0.5327590119553733}","{'mse': 1348.8457998028505, 'rmse': 36.72663610791016, 'mae': 25.888321507324676, 'mdae': 17.64640365010885, 'r2': 0.49961743997433383}",1347.9960847972113,36.70844054192343,25.990259974903996,17.593958724894225,0.5083802089365964,57.67746534538627,0.7798058871313888,0.3207853304936747,0.6195516683502116,0.016388559906915935
15,54.88490694055073,2024-09-19 18:48:03.005750,2024-09-19 18:48:12.478555,0 days 00:00:09.472805,4.762219186343479,squared_epsilon_insensitive,0.00268371934144002,COMPLETE,"{'mse': 3312.044968757162, 'rmse': 57.55036897151192, 'mae': 43.27283644413494, 'mdae': 31.9875608950887, 'r2': -0.21282521822821754}","{'mse': 2727.9231388190233, 'rmse': 52.229523631936594, 'mae': 38.646418199118436, 'mdae': 29.130718229456132, 'r2': 0.033345163791176025}","{'mse': 3308.045052338415, 'rmse': 57.51560703268649, 'mae': 44.73773797269541, 'mdae': 36.92175855534848, 'r2': -0.2281279084022625}","{'mse': 3585.931564654523, 'rmse': 59.88264827689673, 'mae': 46.25346819903236, 'mdae': 36.349393927089, 'r2': -0.29639534374872034}","{'mse': 2232.2210646840085, 'rmse': 47.2463867897219, 'mae': 34.73033366566243, 'mdae': 25.42386674850664, 'r2': 0.1719109100142806}",3033.2331578506264,54.88490694055073,41.528158896128716,31.962659671097793,-0.10641847931474875,546.2526231645847,5.108834012976076,4.748386644749162,4.863445909559265,0.1995168621531035
16,36.44561615996076,2024-09-19 18:48:12.479817,2024-09-19 18:48:34.366031,0 days 00:00:21.886214,0.00010934970379339024,squared_epsilon_insensitive,0.00022465358990834595,COMPLETE,"{'mse': 1337.6948778120388, 'rmse': 36.57451131337285, 'mae': 25.935593667155334, 'mdae': 17.527941686268505, 'r2': 0.5101545729573976}","{'mse': 1406.0118153835215, 'rmse': 37.49682407062659, 'mae': 26.2335314446918, 'mdae': 16.82298372519201, 'r2': 0.5017718418211647}","{'mse': 1269.785624843511, 'rmse': 35.63405147949796, 'mae': 25.466199878443934, 'mdae': 17.430913811970452, 'r2': 0.5285858750756858}","{'mse': 1294.5932064784613, 'rmse': 35.980455895923015, 'mae': 25.640367384516207, 'mdae': 17.478199381374964, 'r2': 0.5319752832234836}","{'mse': 1335.33516100004, 'rmse': 36.54223804038335, 'mae': 26.003488472670238, 'mdae': 17.622499262340813, 'r2': 0.5046294940080274}",1328.6841371035146,36.44561615996076,25.8558361694955,17.376507573429347,0.5154234134171518,51.80787993271065,0.7081664920077563,0.3037513039380427,0.317464216372416,0.0139449773578116
17,36.47157925869895,2024-09-19 18:48:34.367285,2024-09-19 18:48:48.651261,0 days 00:00:14.283976,0.0003885485529193791,squared_epsilon_insensitive,9.080666409233925e-05,COMPLETE,"{'mse': 1337.1949537259143, 'rmse': 36.5676763511973, 'mae': 25.760651133899408, 'mdae': 17.831829747466305, 'r2': 0.5103376382673711}","{'mse': 1387.8774108668047, 'rmse': 37.25422675169631, 'mae': 25.93704325983105, 'mdae': 16.447270328279863, 'r2': 0.5081978695850702}","{'mse': 1301.4520982407082, 'rmse': 36.07564411401005, 'mae': 26.02294602882167, 'mdae': 18.298038646074108, 'r2': 0.5168295419168358}","{'mse': 1309.5433836551897, 'rmse': 36.18761367726794, 'mae': 25.786405616929468, 'mdae': 17.2867104558978, 'r2': 0.526570456128855}","{'mse': 1315.711333349313, 'rmse': 36.27273539932318, 'mae': 25.682689873123863, 'mdae': 17.35197911386591, 'r2': 0.5119093632998385}",1330.3558359675858,36.47157925869895,25.837947182521088,17.443165658316797,0.5147689738395942,34.779846151813324,0.4740020358949962,0.13854660759848555,0.6903745947009066,0.007323155800971992
18,37.57600115713505,2024-09-19 18:48:48.652630,2024-09-19 18:48:57.971638,0 days 00:00:09.319008,0.00199132816284187,squared_epsilon_insensitive,0.0021715017265719573,COMPLETE,"{'mse': 1456.5491352707768, 'rmse': 38.164763005562826, 'mae': 27.57529683135181, 'mdae': 18.857522890785678, 'r2': 0.46663178202324007}","{'mse': 1481.3098661998172, 'rmse': 38.48778853350524, 'mae': 26.487962508369176, 'mdae': 17.276199738348577, 'r2': 0.4750895559668128}","{'mse': 1388.4288100862946, 'rmse': 37.261626508866925, 'mae': 27.09731726902433, 'mdae': 19.27287635542268, 'r2': 0.4845390121602602}","{'mse': 1344.6932895148407, 'rmse': 36.67005985153066, 'mae': 26.089621899227758, 'mdae': 17.870017236073448, 'r2': 0.5138629703701167}","{'mse': 1390.9743022220232, 'rmse': 37.295767886209596, 'mae': 26.51325377733022, 'mdae': 17.789984738423044, 'r2': 0.48398899090058933}",1412.3910806587505,37.57600115713505,26.75269045706066,18.213320191810688,0.48482246228420384,55.487819661016886,0.7375785532198581,0.5836350763435183,0.82354735003895,0.017816820999744652
19,52.98220953688623,2024-09-19 18:48:57.972765,2024-09-19 18:49:09.358556,0 days 00:00:11.385791,0.3629852778670352,squared_epsilon_insensitive,0.00019974330845724374,COMPLETE,"{'mse': 2669.2550440046416, 'rmse': 51.66483372667178, 'mae': 40.25092002746358, 'mdae': 33.19193341065308, 'r2': 0.022555592756186238}","{'mse': 2619.5757140664396, 'rmse': 51.18179084465919, 'mae': 37.7112129227836, 'mdae': 28.29008123009928, 'r2': 0.07173868032302333}","{'mse': 3229.095372278625, 'rmse': 56.82512976033249, 'mae': 44.14321984853663, 'mdae': 36.25978270593337, 'r2': -0.19881745346383362}","{'mse': 3451.835001723138, 'rmse': 58.75231911782834, 'mae': 45.373970305091305, 'mdae': 35.84356996418257, 'r2': -0.24791640413077976}","{'mse': 2161.038773519916, 'rmse': 46.48697423493936, 'mae': 34.059995909170276, 'mdae': 24.832286653702976, 'r2': 0.19831746967172037}",2826.159981118552,52.98220953688623,40.30786380260908,31.68353079291425,-0.030824422968736685,515.63276669048,4.87922300525831,4.641041981403944,4.9743927299104875,0.187899713795862
